"Year","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2022","10,203","168,681,389","6.05","5.87","209,269"
"2021","9,825","167,656,063","5.86","5.71","207,370"
"2020","9,428","167,334,072","5.63","5.50","198,203"
"2019","10,255","166,637,617","6.15","5.99","204,950"
"2018","10,583","165,877,686","6.38","6.19","214,798"
"2017","10,391","165,008,683","6.30","6.14","210,707"
"2016","10,238","163,986,062","6.24","6.04","203,175"
"2015","10,199","162,832,151","6.26","6.06","201,622"
"2014","9,664","161,690,519","5.98","5.78","189,584"
"2013","9,094","160,545,893","5.66","5.47","180,399"
"2012","8,820","159,480,635","5.53","5.36","175,429"
"2011","8,515","158,370,501","5.38","5.21","169,484"
"2010","8,087","156,969,328","5.15","4.99","160,603"
"2009","7,820","155,964,075","5.01","4.87","156,141"
"2008","7,585","154,603,927","4.91","4.78","152,134"
"2007","7,329","153,166,315","4.79","4.65","145,006"
"2006","6,992","151,732,602","4.61","4.49","140,535"
"2005","6,730","150,319,506","4.48","4.38","138,528"
"2004","6,873","148,977,257","4.61","4.54","144,140"
"2003","6,281","147,678,992","4.25","4.18","129,406"
"2002","6,246","146,394,561","4.27","4.21","129,072"
"2001","5,950","145,077,405","4.10","4.06","123,180"
"Total","187,108","3,478,985,239","5.38","5.24","3,783,735"
"","","","","",""
"Injury Outcome: Fatal","","","","",""
"Injury Type: All Injury","","","","",""
"Data Years: 2001 to 2022","","","","",""
"Geography: United States","","","","",""
"Intent: Suicide","","","","",""
"Mechanism: All Injury","","","","",""
"Age: All Ages","","","","",""
"Sex: Females","","","","",""
"Race: All Races","","","","",""
"Ethnicity: All Ethnicities","","","","",""
"Metro / Non-Metro Indicator: None Selected","","","","",""
"YPLL Age: 65","","","","",""
"Year and Race Options: 2001 - 2024 with No Race","","","","",""
"Notation: indicates suppressed value (based on <20 unweighted count, <1,200 weighted count, or coefficient of variation of the estimate >30%);","","","","",""
"--* indicates secondary suppression.","","","","",""
"Rows showing totals and sub-totals will not be available when only one row in the results table is suppressed.","","","","",""
"Reports for All Ages include those of unknown age.","","","","",""
"Data sources:","","","","",""
"National Center for Health Statistics-CDC annual mortality data files for WISQARS Fatal data.","","","","",""
"National Electronic Injury Surveillance System-All Injury Program for WISQARS Nonfatal data , an estimated number of hospital visits for injury care that start in an emergency department based on a U.S. nationally representative probability sample of hospitals.","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","",""