"State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"Alabama","12,750","53,350,683","23.90","23.83","254,711"
"Alaska","3,063","8,478,371","36.13","36.31","82,978"
"Arizona","20,999","74,614,525","28.14","27.90","415,927"
"Arkansas","8,929","32,907,047","27.13","27.29","185,265"
"California","69,033","430,392,241","16.04","16.14","1,307,950"
"Colorado","18,023","60,083,263","30.00","29.74","389,019"
"Connecticut","6,080","39,875,032","15.25","14.62","113,607"
"Delaware","2,031","10,187,708","19.94","19.66","40,812"
"District of Columbia","692","6,877,136","10.06","9.66","15,518"
"Florida","51,696","219,652,486","23.54","21.89","857,463"
"Georgia","22,455","110,295,814","20.36","20.86","470,388"
"Hawaii","3,052","15,775,863","19.35","18.79","65,525"
"Idaho","5,734","18,639,683","30.76","31.54","120,998"
"Illinois","23,279","143,769,938","16.19","16.08","479,257"
"Indiana","17,033","73,912,250","23.05","23.22","357,892"
"Iowa","7,846","35,063,059","22.38","22.35","168,560"
"Kansas","8,236","32,592,857","25.27","25.50","183,902"
"Kentucky","12,828","49,215,415","26.07","25.97","260,393"
"Louisiana","10,997","51,273,035","21.45","21.73","235,075"
"Maine","3,966","15,033,940","26.38","25.00","71,988"
"Maryland","10,151","65,099,751","15.59","15.48","204,518"
"Massachusetts","9,986","74,447,977","13.41","12.88","200,448"
"Michigan","23,564","112,989,953","20.86","20.70","485,055"
"Minnesota","12,125","61,593,533","19.69","19.47","262,814"
"Mississippi","7,317","32,866,836","22.26","22.86","152,317"
"Missouri","17,470","67,438,438","25.91","25.81","359,733"
"Montana","4,475","11,673,736","38.33","37.62","91,521"
"Nebraska","4,266","21,197,731","20.13","20.28","93,256"
"Nevada","9,774","31,803,719","30.73","30.45","177,560"
"New Hampshire","3,634","15,131,427","24.02","22.97","70,739"
"New Jersey","12,115","99,340,980","12.20","11.87","232,155"
"New Mexico","7,872","23,125,190","34.04","34.21","173,350"
"New York","27,276","216,963,183","12.57","12.21","535,975"
"North Carolina","22,515","108,136,005","20.82","20.67","450,688"
"North Dakota","2,200","8,270,872","26.60","26.13","53,287"
"Ohio","27,745","130,366,349","21.28","21.11","568,272"
"Oklahoma","12,393","43,065,825","28.78","29.13","265,020"
"Oregon","12,615","44,551,433","28.32","27.37","237,516"
"Pennsylvania","30,967","142,600,142","21.72","20.94","595,135"
"Rhode Island","1,900","11,891,904","15.98","15.40","37,417"
"South Carolina","12,069","52,718,198","22.89","22.65","243,961"
"South Dakota","2,658","9,618,615","27.63","27.82","65,114"
"Tennessee","18,205","72,264,628","25.19","25.02","359,589"
"Texas","57,103","297,035,263","19.22","19.95","1,252,431"
"Utah","9,331","32,998,476","28.28","30.52","227,464"
"Vermont","1,911","7,118,210","26.85","25.69","35,776"
"Virginia","18,482","91,447,608","20.21","19.97","372,272"
"Washington","18,379","79,586,967","23.09","22.73","369,915"
"West Virginia","5,924","20,677,658","28.65","27.69","111,604"
"Wisconsin","14,246","65,154,565","21.87","21.51","298,692"
"Wyoming","2,508","6,516,400","38.49","38.65","53,882"
"Total","729,898","3,539,681,918","20.62","20.41","14,714,704"
"","","","","",""
"Injury Outcome: Fatal","","","","",""
"Injury Type: All Injury","","","","",""
"Data Years: 2001 to 2023","","","","",""
"Geography: United States","","","","",""
"Intent: Suicide","","","","",""
"Mechanism: All Injury","","","","",""
"Age: All Ages","","","","",""
"Sex: Males","","","","",""
"Race: All Races","","","","",""
"Ethnicity: All Ethnicities","","","","",""
"Metro / Non-Metro Indicator: None Selected","","","","",""
"YPLL Age: 65","","","","",""
"Year and Race Options: 2001 - 2024 with No Race","","","","",""
"Notation: indicates suppressed value (based on <20 unweighted count, <1,200 weighted count, or coefficient of variation of the estimate >30%);","","","","",""
"--* indicates secondary suppression.","","","","",""
"Rows showing totals and sub-totals will not be available when only one row in the results table is suppressed.","","","","",""
"Reports for All Ages include those of unknown age.","","","","",""
"Data sources:","","","","",""
"National Center for Health Statistics-CDC annual mortality data files for WISQARS Fatal data.","","","","",""
"National Electronic Injury Surveillance System-All Injury Program for WISQARS Nonfatal data , an estimated number of hospital visits for injury care that start in an emergency department based on a U.S. nationally representative probability sample of hospitals.","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","",""